group,round_number,match_label,date,time,home_team,away_team,venue,city
A,1,Match 1,2026-06-11,1:00 p.m. UTC−6,Mexico,South Africa,Estadio Azteca,Mexico City
A,1,Match 2,2026-06-11,8:00 p.m. UTC−6,South Korea,Czech Republic,Estadio Akron,Zapopan
A,2,Match 25,2026-06-18,12:00 p.m. UTC−4,Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta
A,2,Match 28,2026-06-18,7:00 p.m. UTC−6,Mexico,South Korea,Estadio Akron,Zapopan
A,3,Match 53,2026-06-24,7:00 p.m. UTC−6,Czech Republic,Mexico,Estadio Azteca,Mexico City
A,3,Match 54,2026-06-24,7:00 p.m. UTC−6,South Africa,South Korea,Estadio BBVA,Guadalupe
B,1,Match 3,2026-06-12,3:00 p.m. UTC−4,Canada,Bosnia and Herzegovina,BMO Field,Toronto
B,1,Match 8,2026-06-13,12:00 p.m. UTC−7,Qatar,Switzerland,Levi's Stadium,Santa Clara
B,2,Match 26,2026-06-18,12:00 p.m. UTC−7,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood
B,2,Match 27,2026-06-18,3:00 p.m. UTC−7,Canada,Qatar,BC Place,Vancouver
B,3,Match 51,2026-06-24,12:00 p.m. UTC−7,Switzerland,Canada,BC Place,Vancouver
B,3,Match 52,2026-06-24,12:00 p.m. UTC−7,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle
C,1,Match 7,2026-06-13,6:00 p.m.,Brazil,Morocco,MetLife Stadium,East Rutherford
C,1,Match 5,2026-06-13,9:00 p.m.,Haiti,Scotland,Gillette Stadium,Foxborough
C,2,Match 30,2026-06-19,6:00 p.m.,Scotland,Morocco,Gillette Stadium,Foxborough
C,2,Match 29,2026-06-19,8:30 p.m.,Brazil,Haiti,Lincoln Financial Field,Philadelphia
C,3,Match 49,2026-06-24,6:00 p.m.,Scotland,Brazil,Hard Rock Stadium,Miami Gardens
C,3,Match 50,2026-06-24,6:00 p.m.,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta
D,1,Match 4,2026-06-12,6:00 p.m.,United States,Paraguay,SoFi Stadium,Inglewood
D,1,Match 6,2026-06-13,9:00 p.m.,Australia,Turkey,BC Place,Vancouver
D,2,Match 32,2026-06-19,12:00 p.m.,United States,Australia,Lumen Field,Seattle
D,2,Match 31,2026-06-19,8:00 p.m.,Turkey,Paraguay,Levi's Stadium,Santa Clara
D,3,Match 59,2026-06-25,7:00 p.m.,Turkey,United States,SoFi Stadium,Inglewood
D,3,Match 60,2026-06-25,7:00 p.m.,Paraguay,Australia,Levi's Stadium,Santa Clara
E,1,Match 10,2026-06-14,12:00 p.m. UTC−5,Germany,Curaçao,NRG Stadium,Houston
E,1,Match 9,2026-06-14,7:00 p.m. UTC−4,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia
E,2,Match 33,2026-06-20,4:00 p.m. UTC−4,Germany,Ivory Coast,BMO Field,Toronto
E,2,Match 34,2026-06-20,7:00 p.m. UTC−5,Ecuador,Curaçao,Arrowhead Stadium,Kansas City
E,3,Match 55,2026-06-25,4:00 p.m. UTC−4,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia
